pathwayid	pathway_id	pathway_name	PML	total_genes_inpathway	bvbrc_genes_inpathway	genes_found_target_group_bypathway	genes_found_nontarget_group_bypathway	perc_missing_in_target_group_bypathway	perc_missing_in_nontarget_group_bypathway	avg_p_index_bypathway	genes_absent_differential	loss_innontarget_group_score	PML_composite	loss_innontarget_group_composite
p230	230	Purine metabolism	1493	120	32	15	26	53.1	18.8	1.6	11	300	15640	3160
p240	240	Pyrimidine metabolism	800	72	21	13	21	38.1	0	1.82	8	0	8505	105
p740	740	Riboflavin metabolism	782	31	8	0	8	100	0	1.39	8	0	8260	40
p250	250	Alanine, aspartate and glutamate metabolism	596	50	13	5	12	61.5	7.7	2.74	7	81	6375	875
p10	10	Glycolysis / Gluconeogenesis	580	55	13	9	11	30.8	15.4	3.84	2	12	5965	185
p710	710	Carbon fixation in photosynthetic organisms	568	26	12	10	12	16.7	0	3.15	2	0	5840	60
p30	30	Pentose phosphate pathway	488	56	9	7	7	22.2	22.2	2.18	0	12	4925	165
p900	900	Terpenoid backbone biosynthesis	478	52	13	8	8	38.5	38.5	1.35	0	218	4845	2245
p51	51	Fructose and mannose metabolism	404	77	9	5	8	44.4	11.1	1.94	3	102	4235	1065
p520	520	Amino sugar and nucleotide sugar metabolism	327	130	18	14	11	22.2	38.9	1.96	-3	327	3210	3360
p680	680	Methane metabolism	304	109	10	5	8	50	20	2.05	3	154	3240	1590
p270	270	Cysteine and methionine metabolism	301	89	13	8	10	38.5	23.1	2.16	2	168	3175	1745
p983	983	Drug metabolism - other enzymes	298	28	6	3	6	50	0	3.25	3	0	3160	30
p330	330	Arginine and proline metabolism	280	115	15	4	15	73.3	0	2.23	11	0	3425	75
p730	730	Thiamine metabolism	257	28	12	2	12	83.3	0	1.25	10	0	3130	60
p220	220	Arginine biosynthesis	241	33	11	4	11	63.6	0	2.97	7	0	2815	55
p480	480	Glutathione metabolism	212	41	6	4	6	33.3	0	1.73	2	0	2250	30
p670	670	One carbon pool by folate	208	28	9	7	9	22.2	0	1.82	2	12	2225	165
p760	760	Nicotinate and nicotinamide metabolism	201	62	9	4	7	55.6	22.2	1.44	3	88	2205	925
p750	750	Vitamin B6 metabolism	198	31	2	0	2	100	0	1.32	2	0	2090	10
p780	780	Biotin metabolism	181	22	13	8	13	38.5	0	1.23	5	0	2125	65
p770	770	Pantothenate and CoA biosynthesis	177	34	11	3	10	72.7	9.1	2.41	7	100	2175	1055
p790	790	Folate biosynthesis	173	55	14	11	9	21.4	35.7	1.33	-2	500	1700	5070
